Sr No,District,Active,Tested,Recovered,Quarantine,Deaths
1,Ahmedabad,3766,349593,22499,251539,1633
2,Amreli,274,15995,375,10295,10
3,Anand,44,14763,508,4983,14
4,Aravalli,32,10838,281,1189,24
5,Banaskantha,0,17944,791,2244,16
6,Bharuch,216,12858,808,34231,11
7,Bhavnagar,381,27624,1399,5602,28
8,Botad,95,8263,247,30,5
9,Chhota Udaipur,16,10212,171,2329,2
10,Dahod,338,13611,419,1504,5
11,Dang,9,3349,21,351,0
12,Devbhoomi Dwarka,27,8582,52,126,4
13,Gandhinagar,287,19078,1403,17273,47
14,Gir Somnath,138,10300,406,20721,4
15,Jamnagar,518,22708,577,4056,21
16,Junagadh,244,27118,916,14872,23
17,Kutch,254,15747,449,3689,24
18,Kheda,108,14856,600,1611,15
19,Mahisagar,195,12168,224,3580,2
20,Mehsana,498,14963,605,464,23
21,Morbi,111,10063,284,579,8
22,Narmada,71,9392,356,6306,0
23,Navsari,148,11442,498,27991,7
24,Panchmahal,255,13543,418,4608,17
25,Patan,47,12423,608,40,33
26,Porbandar,27,7145,106,1390,3
27,Rajkot,1159,25401,1399,9506,48
28,Sabarkantha,169,14052,357,9889,8
29,Surat,2985,160389,11739,36767,501
30,Surendranagar,374,16917,552,5652,8
31,Tapi,43,8469,138,1865,1
32,Vadodara,1178,54612,4334,2529,100
33,Valsad,140,12368,626,411,7
